,Iteration,Modelname,Metricname,Result
504,4,5,Ratio of Outliers (>= 0.5 rad),0.15942028985507245
505,4,6,Mean Square Error,0.15263976960580497
506,4,6,R squared,0.4033094845698717
507,4,6,Standard Deviation of Error,0.3200213759255365
508,4,6,Standard deviation per Recording (avg),0.148051446659329
509,4,6,Ratio of Outliers (>= 0.5 rad),0.14604236343366778
510,4,7,Mean Square Error,0.15458874848475962
511,4,7,R squared,0.3956906496171645
512,4,7,Standard Deviation of Error,0.31979983974858184
513,4,7,Standard deviation per Recording (avg),0.1428604012408746
514,4,7,Ratio of Outliers (>= 0.5 rad),0.15384615384615385
515,4,8,Mean Square Error,0.15489377508820765
516,4,8,R squared,0.39449825734808985
517,4,8,Standard Deviation of Error,0.31943497840166396
518,4,8,Standard deviation per Recording (avg),0.1387636242173568
519,4,8,Ratio of Outliers (>= 0.5 rad),0.15496098104793757
520,4,9,Mean Square Error,0.15730945880517333
521,4,9,R squared,0.3850550069690116
522,4,9,Standard Deviation of Error,0.32079056058126737
523,4,9,Standard deviation per Recording (avg),0.1356876954160418
524,4,9,Ratio of Outliers (>= 0.5 rad),0.1527313266443701
