Iteration,Modelname,Metricname,Result
5,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.007803790412486
8,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0022296544035674
5,2-Channel CNN,Mean Square Error,0.0231111313656897
5,2-Channel CNN,R squared,0.9298030540358048
5,2-Channel CNN,Standard Deviation of Error,0.1519618088349964
5,2-Channel CNN,Standard deviation per Recording (avg),0.1137447878718376
5,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0089186176142697
9,3-Channel CNN,Mean Square Error,0.0169753775775858
6,Linear,Mean Square Error,0.0395847488785763
6,Linear,R squared,0.8355958929515886
9,3-Channel CNN,R squared,0.950852558410168
9,3-Channel CNN,Standard Deviation of Error,0.1268605271850041
6,Linear,Standard Deviation of Error,0.1975886540154889
6,Linear,Standard deviation per Recording (avg),0.1477155819935606
9,3-Channel CNN,Standard deviation per Recording (avg),0.1014763563871383
9,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0055741360089186
6,Linear,Ratio of Outliers (>= 0.5 rad),0.0122630992196209
6,3-Layer FC,Mean Square Error,0.0210048014445469
9,4-Channel CNN,Mean Square Error,0.0153356749644666
9,4-Channel CNN,R squared,0.9555998571394392
6,3-Layer FC,R squared,0.912762472339723
6,3-Layer FC,Standard Deviation of Error,0.1449187176875745
9,4-Channel CNN,Standard Deviation of Error,0.1206149618045178
9,4-Channel CNN,Standard deviation per Recording (avg),0.0934941247105598
6,3-Layer FC,Standard deviation per Recording (avg),0.1094154492020607
6,3-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0044593088071348
9,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0033444816053511
6,4-Layer FC,Mean Square Error,0.0199801221216924
6,4-Layer FC,R squared,0.9170181893483524
6,4-Layer FC,Standard Deviation of Error,0.141104032503089
6,4-Layer FC,Standard deviation per Recording (avg),0.1027678325772285
6,4-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0033444816053511
6,5-Layer FC,Mean Square Error,0.0190460423893055
6,5-Layer FC,R squared,0.9208976264716274
6,5-Layer FC,Standard Deviation of Error,0.137951727628165
6,5-Layer FC,Standard deviation per Recording (avg),0.0971859320998191
6,5-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0033444816053511
6,1-Channel CNN,Mean Square Error,0.021787301347488
6,1-Channel CNN,R squared,0.9095125793518174
6,1-Channel CNN,Standard Deviation of Error,0.1450456603061395
6,1-Channel CNN,Standard deviation per Recording (avg),0.1203445270657539
6,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0044593088071348
6,2-Channel CNN,Mean Square Error,0.0221495129450836
6,2-Channel CNN,R squared,0.9080082354832242
6,2-Channel CNN,Standard Deviation of Error,0.1454338046425283
6,2-Channel CNN,Standard deviation per Recording (avg),0.1196702867746353
6,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0033444816053511
7,Linear,Mean Square Error,0.0395637862108135
7,Linear,R squared,0.8055649488467269
7,Linear,Standard Deviation of Error,0.19862537488405
7,Linear,Standard deviation per Recording (avg),0.1618148447964026
7,Linear,Ratio of Outliers (>= 0.5 rad),0.0133779264214046
2,kNN,Mean Square Error,0.1053449287217097
7,3-Layer FC,Mean Square Error,0.0218422016468296
7,3-Layer FC,R squared,0.8926571493468267
2,kNN,R squared,0.5461279565155577
7,3-Layer FC,Standard Deviation of Error,0.1440084113312361
2,kNN,Standard Deviation of Error,0.2687694340104826
2,kNN,Standard deviation per Recording (avg),0.1289199830142849
7,3-Layer FC,Standard deviation per Recording (avg),0.1149397119879722
2,kNN,Ratio of Outliers (>= 0.5 rad),0.1215161649944258
7,3-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0089186176142697
7,4-Layer FC,Mean Square Error,0.020067008108062
7,4-Layer FC,R squared,0.9013812852189114
7,4-Layer FC,Standard Deviation of Error,0.1396251422071755
7,4-Layer FC,Standard deviation per Recording (avg),0.1066138818860054
7,4-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0089186176142697
7,5-Layer FC,Mean Square Error,0.019973480182278
7,5-Layer FC,R squared,0.9018409254297136
7,5-Layer FC,Standard Deviation of Error,0.1395198568123191
7,5-Layer FC,Standard deviation per Recording (avg),0.1014365628361702
7,5-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0066889632107023
7,1-Channel CNN,Mean Square Error,0.0295483453485187
7,1-Channel CNN,R squared,0.854785535218479
7,1-Channel CNN,Standard Deviation of Error,0.1642327862493411
7,1-Channel CNN,Standard deviation per Recording (avg),0.1414538323879242
7,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0144927536231884
7,2-Channel CNN,Mean Square Error,0.0162806126518414
7,2-Channel CNN,R squared,0.919989413123908
7,2-Channel CNN,Standard Deviation of Error,0.1274373876704662
7,2-Channel CNN,Standard deviation per Recording (avg),0.1076027303934097
7,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0033444816053511
8,Linear,Mean Square Error,0.0355785601652634
8,Linear,R squared,0.8227435449427011
8,Linear,Standard Deviation of Error,0.1880096203078843
8,Linear,Standard deviation per Recording (avg),0.1459855372606243
8,Linear,Ratio of Outliers (>= 0.5 rad),0.0055741360089186
8,3-Layer FC,Mean Square Error,0.0158411278909348
8,3-Layer FC,R squared,0.9210776894564184
8,3-Layer FC,Standard Deviation of Error,0.1255334420200477
8,3-Layer FC,Standard deviation per Recording (avg),0.0978119149804115
8,3-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0011148272017837
8,4-Layer FC,Mean Square Error,0.0135501823215832
8,4-Layer FC,R squared,0.9324914422464756
8,4-Layer FC,Standard Deviation of Error,0.1163317361393923
8,4-Layer FC,Standard deviation per Recording (avg),0.0861874669790268
8,4-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0
8,5-Layer FC,Mean Square Error,0.0146685562649437
8,5-Layer FC,R squared,0.9269195753775604
8,5-Layer FC,Standard Deviation of Error,0.1198089409467592
8,5-Layer FC,Standard deviation per Recording (avg),0.0832910984754562
8,5-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0
8,1-Channel CNN,Mean Square Error,0.0286318867498123
8,1-Channel CNN,R squared,0.8573526662321527
8,1-Channel CNN,Standard Deviation of Error,0.1685533466058486
8,1-Channel CNN,Standard deviation per Recording (avg),0.1346397399902343
8,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.007803790412486
8,2-Channel CNN,Mean Square Error,0.0127416049237608
8,2-Channel CNN,R squared,0.9365198673011071
8,2-Channel CNN,Standard Deviation of Error,0.1100333886872192
8,2-Channel CNN,Standard deviation per Recording (avg),0.0915924683213234
8,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0022296544035674
9,Linear,Mean Square Error,0.0449784468039072
9,Linear,R squared,0.8697775306031945
9,Linear,Standard Deviation of Error,0.2115753361036336
9,Linear,Standard deviation per Recording (avg),0.1496507049661706
9,Linear,Ratio of Outliers (>= 0.5 rad),0.0144927536231884
9,3-Layer FC,Mean Square Error,0.0254901026262285
9,3-Layer FC,R squared,0.9262005617126572
9,3-Layer FC,Standard Deviation of Error,0.1584651593153626
9,3-Layer FC,Standard deviation per Recording (avg),0.1225268095731735
9,3-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0044593088071348
9,4-Layer FC,Mean Square Error,0.0230522632440567
9,4-Layer FC,R squared,0.9332586414574566
9,4-Layer FC,Standard Deviation of Error,0.1512222324256481
9,4-Layer FC,Standard deviation per Recording (avg),0.1098062247037887
9,4-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0033444816053511
9,5-Layer FC,Mean Square Error,0.0229561032272102
9,5-Layer FC,R squared,0.9335370457986646
9,5-Layer FC,Standard Deviation of Error,0.1514320220240412
9,5-Layer FC,Standard deviation per Recording (avg),0.1054026633501052
9,5-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0033444816053511
9,1-Channel CNN,Mean Square Error,0.0339376468128257
9,1-Channel CNN,R squared,0.901743068346707
9,1-Channel CNN,Standard Deviation of Error,0.1830412355762036
9,1-Channel CNN,Standard deviation per Recording (avg),0.1490170508623123
9,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0178372352285395
9,2-Channel CNN,Mean Square Error,0.0301460863695971
9,2-Channel CNN,R squared,0.9127204674982842
9,2-Channel CNN,Standard Deviation of Error,0.1674552561246768
9,2-Channel CNN,Standard deviation per Recording (avg),0.1229654401540756
9,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0133779264214046
3,kNN,Mean Square Error,0.0670318271105846
3,kNN,R squared,0.5376863158422622
3,kNN,Standard Deviation of Error,0.2058245247989448
3,kNN,Standard deviation per Recording (avg),0.1035632006317897
